# 
x,y,rho,u,v,P,e_internal
0.6875,0.75,0.425976,0.92748,2.91714e-16,0.303135,0.941053
0.6925,0.75,0.425346,0.927481,2.92803e-16,0.303139,0.940793
0.6975,0.75,0.424738,0.92748,2.62341e-16,0.303143,0.940541
0.7025,0.75,0.424105,0.927476,2.24356e-16,0.303146,0.940275
0.7075,0.75,0.423055,0.92747,1.69596e-16,0.303148,0.939825
0.7125,0.75,0.420762,0.927464,1.32175e-16,0.303148,0.938838
0.7175,0.75,0.415511,0.927463,9.99959e-17,0.303149,0.936583
0.7225,0.75,0.403954,0.92747,6.00216e-17,0.303152,0.931621
0.7275,0.75,0.380352,0.927482,4.94786e-17,0.303156,0.921484
0.7325,0.75,0.342147,0.927491,3.84783e-17,0.303158,0.905059
0.7375,0.75,0.300508,0.927489,3.61905e-17,0.303155,0.887143
0.7425,0.75,0.272867,0.927471,1.09299e-16,0.303148,0.875231
0.7475,0.75,0.266161,0.927441,2.13558e-16,0.303137,0.872311
0.7525,0.75,0.264405,0.92741,2.95191e-16,0.303125,0.871519
0.7575,0.75,0.264322,0.92739,2.98424e-16,0.303117,0.871458
0.7625,0.75,0.26491,0.927391,2.7266e-16,0.303117,0.87171
0.7675,0.75,0.265662,0.927414,2.471e-16,0.303123,0.872056
0.7725,0.75,0.266183,0.92745,2.19096e-16,0.303134,0.872316
0.7775,0.75,0.266215,0.927481,2.01793e-16,0.303144,0.872363
0.7825,0.75,0.265806,0.927497,1.88112e-16,0.303149,0.872202
0.7875,0.75,0.26529,0.927493,2.0612e-16,0.303147,0.871975
0.7925,0.75,0.264973,0.927478,2.46806e-16,0.303141,0.87182
0.7975,0.75,0.265011,0.927461,3.10511e-16,0.303135,0.871818
0.8025,0.75,0.26532,0.927453,3.43898e-16,0.303132,0.87194
0.8075,0.75,0.265661,0.927454,3.24185e-16,0.303132,0.872086
0.8125,0.75,0.265842,0.92746,2.5836e-16,0.303133,0.872168
0.8175,0.75,0.265805,0.927465,1.61881e-16,0.303134,0.872156
0.8225,0.75,0.265636,0.927467,1.10524e-16,0.303134,0.872084
0.8275,0.75,0.265476,0.927469,1.22684e-16,0.303134,0.872015
0.8325,0.75,0.265418,0.927474,1.36641e-16,0.303134,0.871993
0.8375,0.75,0.265467,0.927483,1.50331e-16,0.303137,0.872022
0.8425,0.75,0.265567,0.927495,1.79191e-16,0.30314,0.872076
0.8475,0.75,0.265649,0.927508,2.46488e-16,0.303144,0.872124
